EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-11-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
5724 ,VASTANTRASK                             ,SWEDEN                                  ,+64:27:00,+020:24:36, 140
5725 ,IDVATTNET                               ,SWEDEN                                  ,+64:27:00,+017:04:47, 352
5726 ,KORSSELBRANNA                           ,SWEDEN                                  ,+64:27:35,+015:32:24, 178
5727 ,BJUROKLUBB                              ,SWEDEN                                  ,+64:28:48,+021:34:48,  36
5728 ,KROKSJO                                 ,SWEDEN                                  ,+64:30:36,+017:59:23, 500
5729 ,LYCKSELE_A                              ,SWEDEN                                  ,+64:33:00,+018:43:12, 210
5730 ,HOGLAND                                 ,SWEDEN                                  ,+64:34:11,+015:55:12, 330
5731 ,PETISTRASK_A                            ,SWEDEN                                  ,+64:34:11,+019:42:00, 258
5732 ,VILHELMINA_A                            ,SWEDEN                                  ,+64:34:48,+016:50:24, 348
5733 ,SKELLEFTEA_FLYGPLATS                    ,SWEDEN                                  ,+64:37:12,+021:04:12,  48
5734 ,LAXBACKEN                               ,SWEDEN                                  ,+64:38:24,+016:24:36, 345
5735 ,RISTRASK_V                              ,SWEDEN                                  ,+64:42:35,+017:26:24, 575
5736 ,URSVIKEN                                ,SWEDEN                                  ,+64:43:12,+021:09:00,   5
5737 ,JORMLIEN                                ,SWEDEN                                  ,+64:43:48,+013:57:36, 360
5738 ,KLUTMARK                                ,SWEDEN                                  ,+64:45:00,+020:37:48,  80
5739 ,BRANNAKERSFJALLET_V                     ,SWEDEN                                  ,+64:45:00,+015:49:48, 630
5740 ,SKELLEFTEA                              ,SWEDEN                                  ,+64:45:36,+020:57:00,  14
5741 ,ULVOBERG                                ,SWEDEN                                  ,+64:45:36,+017:13:11, 520
5742 ,ANKARVATTNET                            ,SWEDEN                                  ,+64:52:12,+014:15:00, 470
5743 ,NORSJO                                  ,SWEDEN                                  ,+64:54:36,+019:28:48, 296
5744 ,FURUOGRUND                              ,SWEDEN                                  ,+64:54:36,+021:13:48,  10
5745 ,NORSJO_A                                ,SWEDEN                                  ,+64:55:48,+019:22:48, 309
5746 ,STORLIDEN                               ,SWEDEN                                  ,+64:57:00,+019:28:48, 296
5747 ,SAXNAS_V                                ,SWEDEN                                  ,+64:58:12,+015:23:24, 545
5748 ,GUNNARN_A                               ,SWEDEN                                  ,+65:00:36,+017:42:00, 251
5749 ,MARSLIDEN                               ,SWEDEN                                  ,+65:01:48,+015:22:12, 550
5750 ,RONNSKAR                                ,SWEDEN                                  ,+65:01:48,+021:34:12,   4
5751 ,RONNSKAR                                ,SWEDEN                                  ,+65:02:24,+021:34:12,   4
5752 ,BLAIKLIDEN                              ,SWEDEN                                  ,+65:03:00,+015:45:00, 520
5753 ,KLIMPFJALL                              ,SWEDEN                                  ,+65:03:36,+014:47:24, 594
5754 ,STEKENJOKK_A                            ,SWEDEN                                  ,+65:05:24,+014:30:36,1036
5755 ,LANGVATTNET                             ,SWEDEN                                  ,+65:05:59,+016:41:24, 420
5756 ,FALLFORS_MO                             ,SWEDEN                                  ,+65:06:36,+020:46:12, 195
5757 ,FALLFORS                                ,SWEDEN                                  ,+65:07:47,+020:47:24, 195
5758 ,MALA-BRANNAN_A                          ,SWEDEN                                  ,+65:09:00,+018:36:00, 363
5759 ,MALA                                    ,SWEDEN                                  ,+65:11:24,+018:45:00, 320
5760 ,PITSUND                                 ,SWEDEN                                  ,+65:13:48,+021:31:12,   4
5761 ,DIKANAS                                 ,SWEDEN                                  ,+65:14:23,+015:59:24, 525
5762 ,HARAHOLMEN                              ,SWEDEN                                  ,+65:14:23,+021:37:48,   4
5763 ,KITTELFJALL                             ,SWEDEN                                  ,+65:15:00,+015:30:00, 560
5764 ,PITEA                                   ,SWEDEN                                  ,+65:19:11,+021:29:24,   9
5765 ,GLOMMERSTRASK                           ,SWEDEN                                  ,+65:16:48,+019:40:12, 395
5766 ,MYRHEDEN                                ,SWEDEN                                  ,+65:18:00,+020:12:36, 250
5767 ,RODKALLEN_A                             ,SWEDEN                                  ,+65:18:36,+022:22:12,   1
5768 ,DIKANAS_SKANSNAS                        ,SWEDEN                                  ,+65:19:11,+016:02:24, 484
5769 ,GIELAS_A                                ,SWEDEN                                  ,+65:19:48,+015:04:12, 577
5770 ,FARSTUGRUNDEN                           ,SWEDEN                                  ,+65:19:48,+022:45:00,   1
5771 ,SALTMYRAN                               ,SWEDEN                                  ,+65:25:12,+019:30:00, 350
5772 ,STORBERG                                ,SWEDEN                                  ,+65:30:36,+018:57:00, 453
5773 ,ABELVATTNET                             ,SWEDEN                                  ,+65:31:48,+014:58:12, 665
5774 ,SORSELE                                 ,SWEDEN                                  ,+65:32:24,+017:33:00, 360
5775 ,DANASJO                                 ,SWEDEN                                  ,+65:32:24,+016:32:24, 652
5776 ,BURESJON_A                              ,SWEDEN                                  ,+65:33:36,+017:51:36, 393
5777 ,LULEA-BERGNASET                         ,SWEDEN                                  ,+65:34:48,+022:06:36,  12
5778 ,ARVIDSJAUR_A                            ,SWEDEN                                  ,+65:35:59,+019:16:12, 382
5779 ,LULEA                                   ,SWEDEN                                  ,+65:37:12,+022:07:48,   5
5780 ,ALVSBYN_A                               ,SWEDEN                                  ,+65:40:12,+021:04:12,  40
5781 ,BOKSJO                                  ,SWEDEN                                  ,+65:40:48,+015:49:12, 475
5782 ,ALVSBYN_M                               ,SWEDEN                                  ,+65:40:48,+020:58:12,  40
5783 ,ALVSBYN M 1                             ,SWEDEN                                  ,+65:41:24,+020:59:24,  47
5784 ,STORON_A                                ,SWEDEN                                  ,+65:42:00,+023:06:00,   4
5785 ,SUNDERBYN                               ,SWEDEN                                  ,+65:42:00,+021:51:00,  20
5786 ,TARNABY                                 ,SWEDEN                                  ,+65:43:12,+015:15:00, 450
5787 ,STOROHAMN                               ,SWEDEN                                  ,+65:43:48,+023:05:24,   4
5788 ,SAVAST_V                                ,SWEDEN                                  ,+65:45:00,+021:46:12,   9
5789 ,VINDEL-STORSJO                          ,SWEDEN                                  ,+65:46:12,+017:03:00, 350
5790 ,HEMAVAN-GIERTEVARTO A                   ,SWEDEN                                  ,+65:46:48,+015:03:36, 793
5791 ,BRANNBERGS FORSOKSGARD                  ,SWEDEN                                  ,+65:48:00,+021:16:12,  95
5792 ,BODEN                                   ,SWEDEN                                  ,+65:49:11,+021:38:24,  25
5793 ,VINDEL-BJORKHEDEN                       ,SWEDEN                                  ,+65:49:11,+016:42:36, 350
5794 ,HAPARANDA_A                             ,SWEDEN                                  ,+65:49:11,+024:07:12,  16
5795 ,HEDNORET                                ,SWEDEN                                  ,+65:49:48,+021:33:00,  27
5796 ,KALIX                                   ,SWEDEN                                  ,+65:50:59,+023:12:00,   6
5797 ,VIDSEL_MO                               ,SWEDEN                                  ,+65:52:47,+020:09:00, 182
5798 ,VIDSEL                                  ,SWEDEN                                  ,+65:52:47,+020:07:48, 180
5799 ,HOGSON                                  ,SWEDEN                                  ,+65:52:47,+022:24:00,   8
5800 ,SUDDESJAUR                              ,SWEDEN                                  ,+65:54:00,+019:05:24, 370
5801 ,BJORKFORS 1                             ,SWEDEN                                  ,+65:55:12,+023:28:12,  10
5802 ,ORRBYN                                  ,SWEDEN                                  ,+65:57:00,+022:06:00,  15
5803 ,AMMARNAS                                ,SWEDEN                                  ,+65:58:12,+016:13:48, 420
5804 ,ABRAUR                                  ,SWEDEN                                  ,+65:59:23,+018:55:12, 370
5805 ,HARADS                                  ,SWEDEN                                  ,+66:04:48,+020:58:12,  55
5806 ,LAISVALLSBY                             ,SWEDEN                                  ,+66:05:59,+017:10:12, 460
5807 ,OVERKALIX-SVARTBYN_A                    ,SWEDEN                                  ,+66:15:36,+022:51:00,  61
5808 ,OVERKALIX-SVARTBYN                      ,SWEDEN                                  ,+66:20:24,+022:48:00,  61
5809 ,LAKATRASK_A                             ,SWEDEN                                  ,+66:16:48,+021:07:48, 185
5810 ,TJAKAAPE_MO                             ,SWEDEN                                  ,+66:18:00,+019:12:00, 581
5811 ,SUDOK                                   ,SWEDEN                                  ,+66:18:00,+020:25:12, 170
5812 ,JAKKVIK_V                               ,SWEDEN                                  ,+66:19:48,+017:06:00, 552
5813 ,OVERTORNEA                              ,SWEDEN                                  ,+66:22:47,+023:39:00,  70
5814 ,PALKEM_M                                ,SWEDEN                                  ,+66:23:24,+021:37:12, 261
5815 ,PALKEM                                  ,SWEDEN                                  ,+66:23:24,+021:36:36, 261
5816 ,MURJEK                                  ,SWEDEN                                  ,+66:28:48,+020:52:48, 260
5817 ,LILLVIKEN-ROPARUDDEN                    ,SWEDEN                                  ,+66:29:23,+016:26:24, 481
5818 ,VAJMAT_V                                ,SWEDEN                                  ,+66:30:36,+019:40:48, 324
5819 ,NAISHEDEN                               ,SWEDEN                                  ,+66:31:48,+022:22:12,  95
5820 ,STENUDDEN                               ,SWEDEN                                  ,+66:31:48,+017:40:12, 458
5821 ,VUOGGATJALME                            ,SWEDEN                                  ,+66:34:48,+016:21:00, 500
5822 ,YLINENJARVI_A                           ,SWEDEN                                  ,+66:37:12,+023:28:12, 132
5823 ,MIERKENIES                              ,SWEDEN                                  ,+66:40:48,+016:06:36, 614
5824 ,MIERKENIS_A                             ,SWEDEN                                  ,+66:40:48,+016:06:36, 614
5825 ,KARATS                                  ,SWEDEN                                  ,+66:41:24,+018:48:36, 420
5826 ,MARKUSVINSA                             ,SWEDEN                                  ,+66:43:48,+022:54:00, 164
5827 ,SARKAVARA                               ,SWEDEN                                  ,+66:44:23,+020:21:36, 385
5828 ,NATTAVAARA_A                            ,SWEDEN                                  ,+66:45:00,+020:55:48, 327
5829 ,NATTAVAARA_BY                           ,SWEDEN                                  ,+66:45:36,+021:03:00, 350
5830 ,RANDIJAUR                               ,SWEDEN                                  ,+66:45:36,+019:19:12, 285
5831 ,NATTAVARA                               ,SWEDEN                                  ,+66:46:12,+020:58:12, 330
5832 ,PAHAROVA_A                              ,SWEDEN                                  ,+66:48:36,+022:20:24, 228
5833 ,KORPILOMBOLO_M                          ,SWEDEN                                  ,+66:50:59,+023:03:36, 178
5834 ,KVIKKJOKK-ARRENJARKA                    ,SWEDEN                                  ,+66:57:35,+017:43:48, 314
5835 ,KVIKKJOKK-ARRENJARKA A                  ,SWEDEN                                  ,+66:53:24,+018:01:12, 320
5836 ,KOMPELUSVAARA                           ,SWEDEN                                  ,+67:05:24,+022:13:12, 255
5837 ,ALLOLUOKTA                              ,SWEDEN                                  ,+67:07:47,+019:30:00, 370
5838 ,GALLIVARE_FLYGPLATS                     ,SWEDEN                                  ,+67:08:24,+020:48:36, 312
5839 ,GALLIVARE_A                             ,SWEDEN                                  ,+67:08:24,+020:39:00, 359
5840 ,GALLIVARE                               ,SWEDEN                                  ,+67:08:24,+020:39:36, 400
5841 ,AKTSE                                   ,SWEDEN                                  ,+67:09:00,+018:18:36, 530
5842 ,MALMBERGET                              ,SWEDEN                                  ,+67:10:12,+020:40:12, 400
5843 ,LATNIVAARA_A                            ,SWEDEN                                  ,+67:15:36,+020:16:12, 453
5844 ,ALUOKTA                                 ,SWEDEN                                  ,+67:18:36,+018:54:00, 385
5845 ,SAITTAROVA_A                            ,SWEDEN                                  ,+67:20:24,+022:13:48, 240
5846 ,SALTOLUOKTA                             ,SWEDEN                                  ,+67:22:47,+018:33:00, 393
5847 ,BJORKUDDEN                              ,SWEDEN                                  ,+67:24:00,+018:43:12, 376
5848 ,STORA_SJOFALLET_A                       ,SWEDEN                                  ,+67:30:00,+018:17:24, 425
5849 ,SATIS                                   ,SWEDEN                                  ,+67:30:00,+018:23:24, 425
5850 ,SVAPPAVAARA                             ,SWEDEN                                  ,+67:39:00,+021:03:00, 345
5851 ,RITSEM                                  ,SWEDEN                                  ,+67:43:48,+017:28:11, 521
5852 ,RITSEM_A                                ,SWEDEN                                  ,+67:43:48,+017:28:11, 532
5853 ,PARKALOMPOLO_A                          ,SWEDEN                                  ,+67:43:48,+022:49:48, 312
5854 ,LAINIO                                  ,SWEDEN                                  ,+67:45:36,+022:21:00, 315
5855 ,KIRUNA_FLYGPLATS                        ,SWEDEN                                  ,+67:49:48,+020:20:24, 459
5856 ,NIKKALUOKTA                             ,SWEDEN                                  ,+67:50:59,+019:01:12, 470
5857 ,KIRUNA 1                                ,SWEDEN                                  ,+67:50:59,+020:13:48, 505
5858 ,NIKKALUOKTA_A                           ,SWEDEN                                  ,+67:50:59,+019:01:48, 466
5859 ,ESRANGE                                 ,SWEDEN                                  ,+67:53:24,+021:04:12, 335
5860 ,TARFALA_A                               ,SWEDEN                                  ,+67:54:36,+018:36:36,1150
5861 ,MUODOSLOMPOLO                           ,SWEDEN                                  ,+67:56:24,+023:26:24, 240
5862 ,NEDRE_SOPPERO_V                         ,SWEDEN                                  ,+68:03:00,+021:46:12, 355
5863 ,LANNAVAARA                              ,SWEDEN                                  ,+68:03:00,+021:58:48, 630
5864 ,RENSJON_A                               ,SWEDEN                                  ,+68:04:11,+019:50:24, 493
5865 ,TORNETRASK                              ,SWEDEN                                  ,+68:13:12,+019:42:36, 393
5866 ,KATTUVUOMA                              ,SWEDEN                                  ,+68:16:48,+019:54:00, 355
5867 ,ABISKO_AUT                              ,SWEDEN                                  ,+68:21:36,+018:49:12, 388
5868 ,ABISKO                                  ,SWEDEN                                  ,+68:21:36,+018:49:12, 388
5869 ,KATTERJAKK_A                            ,SWEDEN                                  ,+68:25:12,+018:10:12, 516
5870 ,RIKSGRANSEN                             ,SWEDEN                                  ,+68:25:48,+018:07:48, 508
5871 ,VASSIJAURE                              ,SWEDEN                                  ,+68:25:48,+018:16:48, 537
5872 ,TORNEHAMN                               ,SWEDEN                                  ,+68:25:48,+018:37:48, 512
5873 ,KARESUANDO_A                            ,SWEDEN                                  ,+68:26:24,+022:27:00, 330
5874 ,NAIMAKKA_A                              ,SWEDEN                                  ,+68:40:48,+021:31:48, 402
5875 ,NAIMAKKA                                ,SWEDEN                                  ,+68:40:48,+021:31:48, 403
5877 ,TRELLEBORG                              ,SWEDEN                                  ,+55:22:48,+013:07:48,   5
5879 ,KOPINGE                                 ,SWEDEN                                  ,+55:27:36,+013:56:24,  10
5882 ,HAMMENHOG                               ,SWEDEN                                  ,+55:30:00,+014:09:36,  52
5895 ,ALNARP FRUKTAVDELNING                   ,SWEDEN                                  ,+55:39:36,+013:05:24,  10
5925 ,KOLLEBERGA                              ,SWEDEN                                  ,+56:04:12,+013:16:12,  50
5934 ,HASSLEHOLM                              ,SWEDEN                                  ,+56:08:24,+013:44:24,  45
5942 ,RONNEBY                                 ,SWEDEN                                  ,+56:12:00,+015:16:48,  10
5952 ,OLOFSTROM                               ,SWEDEN                                  ,+56:16:48,+014:31:12,  65
5975 ,KNARED                                  ,SWEDEN                                  ,+56:33:36,+013:18:00,  35
5976 ,SJOARYD                                 ,SWEDEN                                  ,+56:31:12,+014:45:00, 150
6026 ,KINNARED                                ,SWEDEN                                  ,+57:01:48,+013:07:12, 100
6036 ,KARLSHAMMAR                             ,SWEDEN                                  ,+57:09:00,+016:27:00,   8
6047 ,RYNINGSNAS                              ,SWEDEN                                  ,+57:16:12,+015:55:48,  90
6051 ,VATHULTSTROM                            ,SWEDEN                                  ,+57:19:12,+013:25:48, 165
6074 ,ROMA                                    ,SWEDEN                                  ,+57:30:36,+018:27:00,  32
6085 ,STENSTUGU FORSOKSGARD                   ,SWEDEN                                  ,+57:36:00,+018:27:00,  45
6182 ,MOTALA                                  ,SWEDEN                                  ,+58:33:36,+015:01:12,  95
6183 ,TIDAN                                   ,SWEDEN                                  ,+58:33:00,+014:00:00,  90
6184 ,BRALANDA                                ,SWEDEN                                  ,+58:34:12,+012:22:12,  65
6200 ,BACKEFORS                               ,SWEDEN                                  ,+58:48:36,+012:09:36, 150
6220 ,NYNASHAMN                               ,SWEDEN                                  ,+58:55:12,+017:55:12,  15
6236 ,OREBRO_FLYGPLATS                        ,SWEDEN                                  ,+59:04:48,+015:04:12,  53
6240 ,WIAD                                    ,SWEDEN                                  ,+59:06:36,+017:43:11,  12
6267 ,BERGA                                   ,SWEDEN                                  ,+59:18:00,+018:42:00,  15
6269 ,FARSTA                                  ,SWEDEN                                  ,+59:19:12,+018:22:12,  10
6271 ,STENKVISTA                              ,SWEDEN                                  ,+59:19:12,+016:33:35,  45
6279 ,SVARTSJO                                ,SWEDEN                                  ,+59:21:36,+017:43:11,  10
6284 ,KYRKERUD                                ,SWEDEN                                  ,+59:22:48,+012:07:12, 110
6285 ,ARJANG                                  ,SWEDEN                                  ,+59:22:48,+012:10:12, 130
6286 ,ARBOGA                                  ,SWEDEN                                  ,+59:22:48,+015:49:48,  50
6292 ,VARPNAS                                 ,SWEDEN                                  ,+59:24:00,+013:16:12,  68
6310 ,STORFORS_D                              ,SWEDEN                                  ,+59:32:24,+014:16:48, 135
6330 ,BRUNSBERG                               ,SWEDEN                                  ,+59:37:12,+012:58:48,  70
6356 ,ADOLFSFORS                              ,SWEDEN                                  ,+59:48:00,+012:13:48, 125
6357 ,TOMTA                                   ,SWEDEN                                  ,+59:48:00,+016:33:00,  55
6380 ,VADDO                                   ,SWEDEN                                  ,+59:58:48,+018:49:12,  10
6402 ,BJURFORS                                ,SWEDEN                                  ,+60:07:48,+016:07:48, 125
6423 ,SATER_D                                 ,SWEDEN                                  ,+60:21:00,+015:45:00, 180
6488 ,FINNGRUNDETS FYRSKEPP                   ,SWEDEN                                  ,+61:04:12,+018:40:48,  25
6511 ,TRANGSLET                               ,SWEDEN                                  ,+61:22:48,+013:43:48, 425
6623 ,OFFER                                   ,SWEDEN                                  ,+63:09:00,+017:45:36,  27
6642 ,RAMSELE                                 ,SWEDEN                                  ,+63:32:24,+016:28:11, 175
6650 ,JARPSTROMMEN                            ,SWEDEN                                  ,+63:23:24,+013:23:24, 380
6661 ,SUNDMO                                  ,SWEDEN                                  ,+63:30:00,+016:42:00, 200
6696 ,ULRIKSFORS                              ,SWEDEN                                  ,+63:49:48,+015:37:12, 285
6727 ,YXSJO                                   ,SWEDEN                                  ,+64:16:48,+017:31:12, 350
6733 ,BYGDSILJUM                              ,SWEDEN                                  ,+64:20:59,+020:30:00, 150
6793 ,OJEBYN                                  ,SWEDEN                                  ,+65:21:36,+021:23:24,   5
6815 ,ALVSBY_SKOGSSKOLA                       ,SWEDEN                                  ,+65:40:48,+021:04:12,  40
6842 ,NORRIAN                                 ,SWEDEN                                  ,+66:15:00,+021:48:00,  55
6878 ,PORJUS                                  ,SWEDEN                                  ,+66:57:35,+019:49:12, 390
6881 ,HARRTRASK                               ,SWEDEN                                  ,+67:01:48,+020:42:00, 410
6924 ,OLANDS SODRA GRUND                      ,SWEDEN                                  ,+56:04:12,+016:40:48,   1
6937 ,WAGENINGEN - HAARWEG                    ,NETHERLANDS                             ,+51:58:00,+005:37:59,   7
6938 ,JOMALA MAARIANHAMINAN LENTOASEMA        ,FINLAND                                 ,+60:07:28,+019:54:24,   5
6939 ,PARAINEN UTO                            ,FINLAND                                 ,+59:47:03,+021:22:15,   9
6940 ,LEMLAND NYHAMN                          ,FINLAND                                 ,+59:57:33,+019:57:27,   8
6941 ,MARKET/STORBY                           ,FINLAND                                 ,+60:18:00,+019:07:59,   3
6948 ,JOMALA JOMALABY                         ,FINLAND                                 ,+60:10:41,+019:59:22,  11
6950 ,HAMMARLAND MARKET                       ,FINLAND                                 ,+60:18:03,+019:08:06,   3
6951 ,KUMLINGE BARO                           ,FINLAND                                 ,+60:18:00,+020:45:00,   3
6952 ,KOKAR BOGSKAR                           ,FINLAND                                 ,+59:30:20,+020:21:20,   4
6953 ,GETA OSTERGETA                          ,FINLAND                                 ,+60:22:59,+019:52:59,  17
6954 ,NAANTALI RAULA                          ,FINLAND                                 ,+60:23:38,+021:56:47,   5
6955 ,PARAINEN FAGERHOLM                      ,FINLAND                                 ,+60:06:42,+021:42:10,   4
6956 ,JOMALA SODERSUNDA                       ,FINLAND                                 ,+60:09:15,+019:52:31,   9
6959 ,KUMLINGE KIRKONKYLA                     ,FINLAND                                 ,+60:15:29,+020:45:02,  23
6962 ,HANKO RUSSARO                           ,FINLAND                                 ,+59:46:24,+022:57:06,   5
6963 ,HANKO KPKI                              ,FINLAND                                 ,+59:49:00,+022:58:00,   4
6964 ,KAARINA YLTOINEN                        ,FINLAND                                 ,+60:23:12,+022:33:16,   6
6965 ,PIIKKIO TUORLA                          ,FINLAND                                 ,+60:25:00,+022:25:59,  26
6966 ,NAANTALI KESKUSTA                       ,FINLAND                                 ,+60:28:00,+022:01:59,  16
6971 ,TURKU RUISSALO                          ,FINLAND                                 ,+60:25:59,+022:10:59,   4
6972 ,PIIKKIO YLTOINEN VERTAILUAS             ,FINLAND                                 ,+60:22:59,+022:33:00,  28
6973 ,DRAGSFJARD SKINNARVIK                   ,FINLAND                                 ,+60:07:59,+022:27:00,  31
6974 ,KEMIONSAARI LOVBOLE                     ,FINLAND                                 ,+60:09:11,+022:33:39,   7
6975 ,KEMIONSAARI VANO                        ,FINLAND                                 ,+59:52:09,+022:11:48,   8
6976 ,HANKO TULLINIEMI                        ,FINLAND                                 ,+59:48:30,+022:54:56,  11
6977 ,TURKU RAJAKARI                          ,FINLAND                                 ,+60:22:40,+022:05:58,   4
6978 ,TURKU KUPITTAA                          ,FINLAND                                 ,+60:27:00,+022:16:59,  57
6979 ,TURKU ARTUKAINEN                        ,FINLAND                                 ,+60:27:15,+022:10:54,   8
6980 ,KEMIONSAARI KEMIO KK                    ,FINLAND                                 ,+60:10:17,+022:45:38,  13
6981 ,SUOMUSJARVI KETTULA                     ,FINLAND                                 ,+60:24:00,+023:46:00,  84
6982 ,HANKO TVARMINNE                         ,FINLAND                                 ,+59:50:38,+023:15:06,   3
6983 ,POHJA POHJANKURU                        ,FINLAND                                 ,+60:06:00,+023:31:59,   8
6987 ,SALO SUOMUSJARVI                        ,FINLAND                                 ,+60:19:26,+023:42:36,  69
6990 ,RAASEPORI JUSSARO                       ,FINLAND                                 ,+59:49:14,+023:34:35,  15
6991 ,SALO KIIKALA LENTOKENTTA                ,FINLAND                                 ,+60:27:47,+023:39:09, 117
6992 ,VANTAA HELSINKI-VANTAAN LENTOASEMA      ,FINLAND                                 ,+60:19:37,+024:57:37,  51
6993 ,INKOO BAGASKAR                          ,FINLAND                                 ,+59:55:51,+024:01:01,  10
6994 ,HELSINKI KATAJALUOTO                    ,FINLAND                                 ,+60:06:00,+024:55:00,   5
6995 ,ESPOO OTANIEMI                          ,FINLAND                                 ,+60:10:59,+024:49:59,   2
6996 ,HELSINKI ILMALA                         ,FINLAND                                 ,+60:12:00,+024:55:00,  47
6997 ,HELSINGIN MLK TAMMISTO                  ,FINLAND                                 ,+60:16:00,+024:58:00,  14
6998 ,VIHTI MAASOJA                           ,FINLAND                                 ,+60:25:06,+024:24:06,  42
7005 ,ESPOO NUPURI                            ,FINLAND                                 ,+60:13:14,+024:36:15,  20
7012 ,HELSINKI HARMAJA                        ,FINLAND                                 ,+60:06:16,+024:58:42,   3
7013 ,KIRKKONUMMI MAKILUOTO                   ,FINLAND                                 ,+59:55:12,+024:21:09,   2
7014 ,KIRKKONUMMI                             ,FINLAND                                 ,+60:13:59,+024:22:59,  43
7015 ,HELSINKI KAISANIEMI AWS                 ,FINLAND                                 ,+60:10:00,+024:57:00,   4
7019 ,HELSINKI HELSINGIN MAJAKKA              ,FINLAND                                 ,+59:56:53,+024:55:48,   0
7020 ,HELSINKI KUMPULA                        ,FINLAND                                 ,+60:12:10,+024:57:51,  24
7021 ,ESPOO SEPANKYLA                         ,FINLAND                                 ,+60:12:27,+024:44:39,  31
7022 ,HELSINKI RAUTATIENTORI                  ,FINLAND                                 ,+60:10:17,+024:56:52,   3
7023 ,HELSINKI-MALMIN LENTOASEMA              ,FINLAND                                 ,+60:15:11,+025:02:53,  15
7024 ,VALLISAARI                              ,FINLAND                                 ,+60:07:59,+025:00:00,  10
7025 ,HELSINKI VIIKIN KOETILA                 ,FINLAND                                 ,+60:13:00,+025:01:59,   8
7026 ,VANTAA TIKKURILA                        ,FINLAND                                 ,+60:16:59,+025:04:00,  20
7027 ,TUUSULA RUOTSINKYLA                     ,FINLAND                                 ,+60:22:00,+024:58:59,  49
7028 ,TUUSULA HYRYLA                          ,FINLAND                                 ,+60:25:00,+025:01:59,  45
7029 ,JARVENPAA                               ,FINLAND                                 ,+60:28:00,+025:04:59,  50
7033 ,HELSINKI MARJANIEMI                     ,FINLAND                                 ,+60:12:00,+025:04:59,  22
7034 ,PORVOO KALBADAGRUND                     ,FINLAND                                 ,+59:59:06,+025:36:06,   0
7035 ,PORVOO EMASALO                          ,FINLAND                                 ,+60:12:12,+025:37:42,  20
7036 ,HELSINKI ISOSAARI                       ,FINLAND                                 ,+60:06:15,+025:04:15,   4
7038 ,HELSINKI HERTTONIEMI                    ,FINLAND                                 ,+60:12:00,+025:02:58,   5
7039 ,PORVOO LEHTIMAKI                        ,FINLAND                                 ,+60:22:05,+025:37:36,  10
7040 ,PORVOO HARABACKA                        ,FINLAND                                 ,+60:23:29,+025:36:41,  22
7042 ,KOTKA RANKKI                            ,FINLAND                                 ,+60:22:31,+026:57:42,   9
7045 ,RUOTSINPYHTAA KEITALA                   ,FINLAND                                 ,+60:25:18,+026:22:09,   4
7046 ,RUOTSINPYHTAA REIMARS                   ,FINLAND                                 ,+60:22:00,+026:24:00,   4
7047 ,RUOTSINPYHTAA TESJOKI                   ,FINLAND                                 ,+60:25:59,+026:22:00,   3
7050 ,PERNAJA SARVILAHTI                      ,FINLAND                                 ,+60:28:59,+026:07:59,  14
7051 ,LOVIISA ORRENGRUND                      ,FINLAND                                 ,+60:16:28,+026:26:52,   3
7052 ,KOTKA POOKINMAKI                        ,FINLAND                                 ,+60:27:15,+026:57:10,  23
7054 ,KOTKA HAAPASAARI                        ,FINLAND                                 ,+60:17:11,+027:11:17,   4
7055 ,KOTKA KIRKONMAA                         ,FINLAND                                 ,+60:23:06,+027:03:06,  17
7056 ,RAUMA KUUSKAJASKARI                     ,FINLAND                                 ,+61:08:21,+021:22:05,  17
7057 ,RAUMA KPKI                              ,FINLAND                                 ,+61:07:00,+021:28:00,   5
7067 ,EURAJOKI VERKKOKARI                     ,FINLAND                                 ,+61:13:59,+021:37:59,   4
7068 ,RAUMA MAJAKKA                           ,FINLAND                                 ,+61:09:00,+021:10:00,  18
7069 ,KUSTAVI ISOKARI                         ,FINLAND                                 ,+60:43:19,+021:01:48,   4
7070 ,LAITILA PALTTILA                        ,FINLAND                                 ,+60:52:59,+021:40:00,  11
7071 ,RAUMA KYLMAPIHLAJA                      ,FINLAND                                 ,+61:08:40,+021:18:21,   4
7073 ,PORI RAUTATIEASEMA                      ,FINLAND                                 ,+61:28:44,+021:47:11,   9
7074 ,PAIMIO TAATILA                          ,FINLAND                                 ,+60:30:00,+022:46:00,  52
7075 ,HUITTINEN LAUTTAKYLA                    ,FINLAND                                 ,+61:10:00,+022:46:59,  60
7091 ,SAKYLA PYHAJOKI                         ,FINLAND                                 ,+61:00:00,+022:22:59,  48
